clust,num,tissue.subsets,tissue,identity.super,identity.sub,identity.super.short,identity.sub.short,zfin,daniocell.cluster,clust.collapse,ident.gene.1,ident.gene.2,ident.gene.3,roc.1,roc.2,roc.3,roc.4,roc.5,roc.6,wilcox.1,wilcox.2,wilcox.3,wilcox.4,wilcox.5,wilcox.6,
axia.1,1,axial,notochord,parachordal cartilage,24-48 hpf,parachordal cartilage,24-48 hpf,ZFA:0001423,axia.1,axia.ct.1,col2a1a,tgm2l,crispld1b,tgfbi,matn4,krt18a.1,snorc,chadla,krt8,AL929222.2,arsh,atp1a1b,cav1,cav2,chadla,
axia.2,2,axial,notochord,notochord,sheath cells (36-94 hpf),notochord,sheath cells (36-94 hpf),ZFA:0005744,axia.2,axia.ct.5,col2a1a,col11a2,col11a1a,si:ch73-23l24.1,epyc,col11a2,col2a1a,col11a1a,col9a1b,si:ch73-23l24.1,epyc,col11a2,col2a1a,col11a1a,col9a1b,
axia.3,3,axial,hatching gland,prechordal plate,5-9 hpf,prechordal plate,5-9 hpf,ZFA:0000060,axia.3,axia.ct.15,ripply1,gsc,frzb,frzb,shisa2a,fzd8b,ripply1,gsc,apoeb,frzb,fzd8b,gsc,klf17,otx1,ripply1,
axia.4,4,axial,notochord,notochord,progenitors (6-10 hpf),notochord,progenitors (6-10 hpf),ZFA:0000135,axia.4,axia.ct.5,tbxta,noto,,cdx4,hspb1,si:ch73-1a9.3,si:ch211-222l21.1,hmga1a,hes6,BX927327.1,cdx4,nkx1.2la,fgf8a,cdx1a,fgf24,
axia.5,5,axial,notochord,notochord,10-12 hpf,notochord,10-12 hpf,ZFA:0000135,axia.5,axia.ct.5,tbxta,noto,ntd5,twist2,NC-002333.4,pmp22b,hmgn6,p4ha1b,ppp1r14c,twist2,XLOC-040516,arl4aa,emilin3a,pmp22b,noto,
axia.6,6,axial,notochord,parachordal cartilage,96-120 hpf,parachordal cartilage,96-120 hpf,ZFA:0001423,axia.1,axia.ct.1,col2a1a,tgm2l,crispld1b,si:dkey-1j5.4,sparc,matn3a,si:dkey-12l12.1,krt91,krt15,si:dkey-1j5.4,apoa2,si:dkey-21p1.3,krt15,cx30.3,cebpd,
axia.7,7,axial,,likely doublets,,likely doublets,,,,,cspg5,col9a3,col11a1a,ptmaa,tuba1c,nova2,marcksl1a,gpm6aa,ppiab,cspg5a,elavl3,fez1,gng3,gpm6aa,myt1b,
axia.8,8,axial,axial,axial mesoderm,hybrid cells,axial mesoderm,hybrid cells,ZFA:0000091,axia.8,,noto,gsc,nog1,chrd,hspb1,hmga1a,cst3,hnrnpa0b,nog1,chrd,admp,ndr2,efnb2b,nog1,aplnra,
axia.9,9,axial,notochord,parachordal cartilage,60-96 hpf,parachordal cartilage,60-96 hpf,ZFA:0001423,axia.1,axia.ct.1,col2a1a,tgm2l,crispld1b,zgc:113232,zmp:0000000760,col9a1b,matn3a,sparc,col9a3,mmp11b,crispld1b,si:dkey-1j5.4,matn3a,crabp2a,chad,
axia.10,10,axial,axial,axial progenitors,notochord,axial progenitors,notochord,ZFA:0000091,axia.10,axia.ct.22,noto,tbxta,,si:ch1073-80i24.3,asb11,pou5f3,lrwd1,cdca7a,nnr,ccna1,cldnd,cxcr4a,cxcr4b,h1m,lrwd1,
axia.11,11,axial,axial,axial progenitors,prechordal plate,axial progenitors,prechordal plate,ZFA:0000091,axia.11,axia.ct.22,tbxta,gsc,frzb,fscn1a,snai1a,tbx16,cth1,zgc:56699,h1m,cth1,gata6,LOC101885485,sebox,snai1a,osr1,
axia.12,12,axial,notochord,notochord,18-21 hpf,notochord,18-21 hpf,ZFA:0000135,axia.5,axia.ct.5,tbxta,col2a1a,ntd5,emilin3a,si:dkey-261h17.1,FQ323119.1,col15a1a,tbx3a,sntb2,angptl6,arhgap23a,CABZ01084131.1,caskin1,chst2b,emilin3a,
axia.13,13,axial,notochord,notochord,14-16 hpf,notochord,14-16 hpf,ZFA:0000135,axia.5,axia.ct.5,tbxta,col2a1a,ntd5,hsp90ab1,gdf11,fn1a,hnrnpa0l,btf3,slc25a5,alpi.1,BX005254.3,fgf20a,fgf3,fgf4,fzd10,
axia.14,14,axial,hatching gland,prechordal plate,polster (10-12 hpf),prechordal plate,polster (10-12 hpf),ZFA:0000058,axia.14,axia.ct.15,frzb,ctslb,,calr3b,rrbp1b,tram1,zgc:174153,rrbp1a,si:dkey-239j18.2,BX322603.1,ctsll,inhbaa,prdm1a,nmt1b,si:dkey-239j18.2,
axia.15,15,axial,hatching gland,hatching gland,14-18 hpf,hatching gland,14-18 hpf,ZFA:0000058,axia.15,axia.ct.15,he1.1,he1.2,ctslb,si:dkey-239j18.2,zgc:174153,si:dkey-26g8.5,ctslb,si:dkey-269i1.4,si:dkey-269i1.3,aldh1a3,he1.2,rcvrn2,si:dkey-239j18.3,zgc:92380,he1.1,
axia.16,16,axial,notochord,notochord,sheath cells (96-120 hpf),notochord,sheath cells (96-120 hpf),ZFA:0005744,axia.2,axia.ct.5,col2a1a,col11a2,col11a1a,rpl37,rplp2,uba52,rpl14,ucmab,matn3a,krt91,si:dkey-1j5.4,krt15,matn3a,ucmab,hsd11b2,
axia.17,17,axial,notochord,notochord,vacuolar cells (21-34 hpf),notochord,vacuolar cells (21-34 hpf),ZFA:0005746,axia.19,axia.ct.15,slc38a8a,slc38a8b,ntd5,wu:fc23c09,fxyd6l,loxl2b,hapln1a,col5a3a,cavin1b,smoc2,vimr2,tinagl1,si:dkey-178e17.3,tnc,wu:fc23c09,
axia.18,18,axial,hatching gland,hatching gland,38-94 hpf,hatching gland,38-94 hpf,ZFA:0000026,axia.20,axia.ct.15,he1.1,he1.2,ctslb,krt97,BX000438.2,ak1,wu:fb18f06,si:ch211-195b11.3,nupr1b,ampd3b,bik,BX000438.2,CABZ01039859.1,CABZ01068248.1,ccl25b,
axia.19,19,axial,notochord,notochord,vacuolar cells (14-18 hpf),notochord,vacuolar cells (14-18 hpf),ZFA:0005746,axia.19,axia.ct.5,tbxta,ntd5,slc38a8b,tspan7b,slc38a8b,hapln1a,lgals1l1,scarb2a,cav3,cav3,RASSF10,slc38a8b,znf385b,kctd12.1,si:dkey-178e17.3,
axia.20,20,axial,hatching gland,hatching gland,21-36 hpf,hatching gland,21-36 hpf,ZFA:0000026,axia.20,axia.ct.15,he1.1,he1.2,ctslb,si:dkey-26g8.5,ctslb,si:dkey-269i1.4,si:dkey-239j18.2,wu:fa26c03,si:dkey-239j18.3,acy3.2,adrb3a,ano8a,camk2d1,capn9,cldn8,
axia.21,21,axial,notochord,notochord,16-18 hpf,notochord,16-18 hpf,ZFA:0000135,axia.5,axia.ct.5,tbxta,ntd5,col2a1a,actb2,rplp0,eef1a1l1,rpl12,slc25a5,rps23,lgals1l1,actb2,rplp0,eef1a1l1,rpl12,slc25a5,
axia.22,22,axial,axial,blastomeres,dorsal margin,blastomeres,dorsal margin,ZFA:0000541,axia.22,axia.ct.22,nanog,gsc,tbxta,nanog,acp5a,rbm7,vgll4l,stk35l,h1m,vgll4l,ccna1,zgc:173742,nanog,h2af1al,si:dkey-11o15.10,
axia.23,23,axial,,likely doublets,,likely doublets,,,,,col1a2,col1a1a,col5a1,col1a2,pmp22a,col5a1,krt18b,col1a1a,mfap2,col4a1,mxra8b,pdgfrl,fibina,pgfb,krt18b,
axia.24,24,axial,notochord,notochord,"anterior tip (myl9a+, tagln+)",notochord,anterior tip (myl9a/tagln+),ZFA:0000091,axia.24,axia.ct.5,tbxta,myl9a,tagln,myl9a,tpm4a,tmsb4x,flna,zgc:153867,fn1b,acta2,bves,BX088707.3,cnn1b,fhl2a,lmod1b,
axia.25,25,axial,,likely doublets,noto. / fin / epid.,likely doublets,noto. / fin / epid.,,,,epgn,col11a1a,NA,tmsb1,cfl1l,krt4,cyt1,pfn1,actb1,abi3b,cldn1,col14a1b,cxl34b.11,entpd3,epgn,
blas.1,1,blastomeres,blastomeres,blastomeres,"animal, neural-enriched",blastomeres,"animal, neural enriched",ZFA:0001473,blas.1,blas.ct.10,sox2,foxd5,foxd3,cirbpb,aldob,eef1a1l1,dynll1,khdrbs1a,asb11,cirbpb,aldob,eef1a1l1,dynll1,khdrbs1a,asb11,
blas.2,2,blastomeres,blastomeres,blastula,4.3 hpf,blastomeres,4.3 hpf,ZFA:0001473,blas.2,blas.ct.11,NA,NA,NA,glulb,id1,ctsba,rpl12,fth1a,sec61b,glulb,id1,ctsba,rpl12,fth1a,sec61b,
blas.3,3,blastomeres,blastomeres,blastula,4.3 hpf,blastomeres,4.3 hpf,ZFA:0001473,blas.2,blas.ct.11,NA,NA,NA,nanog,gpatch4,zgc:173742,si:dkey-68o6.5,cited4b,rtf1,gpatch4,nanog,vgll4l,zgc:173742,stk35l,cited4b,
blas.4,4,blastomeres,blastomeres,blastomeres,"animal, neural-enriched",blastomeres,"animal, neural enriched",ZFA:0001473,blas.1,blas.ct.10,prdm14,sox2,NA,si:ch73-1a9.3,si:ch211-222l21.1,rps29,si:dkey-56m19.5,hspe1,CR383676.1,serpinh1b,si:ch73-1a9.3,sox2,hsp90aa1.2,rps29,si:ch211-222l21.1,
blas.5,5,blastomeres,blastomeres,blastomeres,"animal, nonneural-enriched",blastomeres,"animal, nonneural-enriched",ZFA:0001473,blas.5,blas.ct.10,gata2a,foxi1,NA,NC-002333.4,zgc:110425,mki67,akap12b,si:ch73-1a9.3,hsp90aa1.2,NC-002333.4,zgc:110425,mki67,hsp90aa1.2,akap12b,si:ch73-1a9.3,
blas.6,6,blastomeres,blastomeres,blastula,marginal,blastomeres,"marginal, ventrolateral",ZFA:0000541,blas.6,blas.ct.6,tbxta,tbx16,wnt11f2,tbxta,wnt11f2,eve1,hes6,cdx4,tbx16,cdx4,eve1,sebox,tbxta,wnt11f2,wnt5b,
blas.7,7,blastomeres,blastomeres,gastrula,animal,blastomeres,animal,ZFA:0001473,blas.7,blas.ct.10,NA,NA,NA,akap12b,si:ch211-113a14.18,si:dkey-108k21.10,hnrnpub,stm,zgc:110425,si:ch211-113a14.18,akap12b,si:dkey-108k21.10,si:dkey-23a13.17,zgc:153405,hnrnpub,
blas.8,8,blastomeres,blastomeres,gastrula,6 hpf,gastrula,6 hpf,ZFA:0001473,blas.8,blas.ct.10,NA,NA,NA,hspb1,h3f3d,fthl27,eef1a1l1,si:ch211-152c2.3,ybx1,hspb1,h3f3d,fthl27,eef1a1l1,si:ch211-152c2.3,ybx1,
blas.9,9,blastomeres,blastomeres,gastrula,"endoderm, dorsal margin",blastomeres,"endoderm, dorsal margin","ZFA:0000541,ZFA:0000416,ZFA:0001121",blas.9,blas.ct.6,sox32,gsc,gata6,fscn1a,snai1a,lhx1a,foxa,tbx16,tbxta,aldh1a2,aplnra,aplnrb,BX927327.1,cyp27c1,dkk1b,
blas.10,10,blastomeres,blastomeres,gastrula,animal,gastrula,animal,ZFA:0001473,blas.10,blas.ct.10,NA,NA,NA,hsp90aa1.2,CABZ01079276.1,XLOC-044281,dnajb1b,thy1,BX530721.1,CABZ01079276.1,CABZ01067657.1,hsp90aa1.2,LOC108182459,XLOC-044281,hsp70.3,
blas.11,11,blastomeres,blastomeres,blastula,3.3-3.8 hpf,blastomeres,3.3-3.8 hpf,ZFA:0001473,blas.11,blas.ct.11,NA,NA,NA,h1m,acp5a,h2af1al,cldng,cldnd,ccnb2,afap1l1a,akip1,ankha,ankrd12,ankrd22,arl4aa,
endo.1,1,endoderm,liver,liver,hepatocyte 1 (msmo1+),liver,hepatocyte 1 (msmo1+),ZFA:0009111,endo.1,endo.ct.1,tfa,hmgcra,msmo1,msmo1,hmgcs1,hmgcra,cyp51,sc5d,fdps,a2ml,aacs,abcb11b,acat2,acsbg1,agt,
endo.2,2,endoderm,liver,liver,hepatocyte 3 (ucp1/upp2+),liver,hepatocyte 3 (ucp1/upp2+),ZFA:0009111,endo.2,endo.ct.1,tfa,ucp1,upp2,fetub,cdab,rbp4,agxtb,pnp4b,ucp1,a2ml,abcb11b,acot16,acsbg1,adgrl1.1,agt,
endo.3,3,endoderm,liver,liver,hepatocyte 2,liver,hepatocyte 2,ZFA:0009111,endo.3,endo.ct.1,ces2,tfa,hamp,tfa,c9,zgc:123103,f2,serpina1l,cfb,a2ml,abat,abca1a,abcb11b,acaa1,acaa2,
endo.4,4,endoderm,liver,liver,hepatocyte 4 (cp-),liver,hepatocyte 4 (cp-),ZFA:0009111,endo.4,endo.ct.1,fabp10a,tfa,cp-,fabp10a,rbp2b,aldob,apoa1b,gamt,bhmt,fabp10a,rbp2b,hpda,uox,aldob,apoa1b,
endo.5,5,endoderm,liver,liver,hepatoblasts,liver,hepatoblasts,ZFA:0009398,endo.5,endo.ct.1,olfm3a,pcna,cdk1,rps12,rplp2l,rplp1,rpl39,si:dkey-151g10.6,rpl35a,olfm3a,angptl2b,rps12,rplp2l,tecrl2a,rplp1,
endo.6,6,endoderm,liver,liver,"hepatoblasts (later, cycling)",liver,"hepatoblasts (later, cycling)",ZFA:0009398,endo.5,endo.ct.1,kpna2,tfa,pcna,tuba8l,kpna2,chchd10,fah,hal,ttc36,prc1b,gtse1,ect2,tacc3,si:dkey-30c15.10,aspm,
endo.7,7,endoderm,liver,unknown,hepato-intestinal,unknown,hepato-intestinal,,endo.7,endo.ct.7,dao.1,fabp1b.1,tfa,apoa1a,pvalb9,bhmt,afp4,fabp1b.1,apoeb,acp5a,apoea,ctsll,ctss2.1,dao.1,mia,
endo.8,8,endoderm,liver,liver,cholangiocytes,liver,cholangiocytes,ZFA:0009397,endo.8,endo.ct.8,anxa4/tm4sf4,sox9b,cftr,anxa4,tmsb4x,cdh1,cd9b,ptmaa,tm4sf4,blnk,BX855618.1,CABZ01074363.1,cobll1a,ehf,GUCY1A2,
endo.9,9,endoderm,gut,intestine,"progenitors, early + absorptive",intestine,"progenitors, early + absorptive",,endo.9,endo.ct.9,sfrp5,cdx1b,fgf24,rplp2l,tmsb4x,rps24,serbp1a,si:ch211-222l21.1,si:dkey-151g10.6,XLOC-001964,mycn,fgf24,sfrp5,BX248318.1,zbtb16a,
endo.10,10,endoderm,gut,intestine,"enterocytes, anterior (EC-1)",intestine,"enterocytes, ant.",ZFA:0009269,endo.10,endo.ct.10,s100a10a,gstp1,cdx1b,zgc:77748,bin2a,zgc:158846,gstp1,ldha,gsta.1,abcb11a,ace2,acsl1b,acsl5,agpat9l,aifm4,
endo.11,11,endoderm,gut,intestine,"enterocytes, anterior (EC-2)",intestine,"enterocytes, ant.",ZFA:0009269,endo.10,endo.ct.10,fabp1b.1,chia.2,gsta.1,rbp2a,sult6b1,chia.1,apoa4b.2,si:ch211-133l5.7,fabp1b.1,abcb11a,abcg2b,ace2,ACOT12,acsl1b,acsl4a,
endo.12,12,endoderm,gut,intestine,"enterocytes, mep1a+ (EC-3)",intestine,"enterocytes, mep1a+",ZFA:0009269,endo.12,endo.ct.10,mep1a.1/.2,enpp7.1,chia.2/cdx1b,mep1a.1,enpp7.1,anpepb,mep1a.2,aoc1,cd36,abcg2b,ace2,ACOT12,acsbg2,acsl4a,acsl5,
endo.13,13,endoderm,gut,intestine,"enterocytes, lysosome-rich",intestine,"enterocytes, lysosome-rich","ZFA:0009269,ZFA:0005942",endo.13,endo.ct.13,dab2,amn,cubn,fabp6,si:ch211-139a5.9,si:dkey-28n18.9,grn1,cdaa,si:dkey-283b1.6,agtrap,amn,anpepb,CABZ01044154.1,CABZ01112049.1,cdaa,
